country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,Social support,Happiness
Afghanistan,35383028,18116562465,,102.4864731,51.65594101,,51.3,63.763,0.2782,64.0548831,0.208857196,1.850994088,0.024873504,61.05463771,,33.981,53.2079642,2.519922544,0.559071779,0
Albania,2876101,11861199831,15.42,105.5538635,95.71499634,58.3818512,8.4,78.194,1.2164,93.75487823,1.714126173,28.80218978,9.228640975,116.7444442,,12.08,68.66009247,12.95621108,0.638411462,0
Algeria,40551398,1.60034E+11,10.2,113.8302002,,42.62884903,21.3,76.298,1.8325,93.62277749,3.535019927,0.821247986,7.051711073,116.0042077,,25.25,64.85756642,6.007981181,0.748588264,1
Argentina,43590368,5.57531E+11,,110.7391815,108.4623337,87.21344757,9.7,76.221,4.0013,99.0238575,4.227539442,10.60039683,16.66727115,146.4538276,,17.383,64.06056661,10.85997758,0.882819116,2
Armenia,2936147,10546135160,17.62,94.51789856,,51.08018875,12.2,74.64,,99.56094081,1.726752782,11.56691254,10.18921762,116.9754675,,14.568,68.7610583,10.97872277,0.709218323,0
Australia,24190907,1.20669E+12,5.71,100.7444077,153.0131989,120.9657135,3.2,82.44878049,3.5672,99.96997302,15.87207954,17.42548771,30.39231558,109.4312952,,12.9,65.90657302,15.1411186,0.942334235,2
Austria,8736668,3.95569E+11,6.01,102.2643585,100.9630203,83.45494843,3,81.64146341,5.1234,100,7.255626516,47.07695104,28.84661223,126.6614696,,10,66.9201963,18.90914695,0.926318586,2
Azerbaijan,9757812,37867518957,5,106.4317398,,25.92642021,21.8,72.493,,93.18356464,3.347061821,13.15441152,18.52561662,104.6523726,,16.3,71.02714111,5.835522707,0.777271032,1
Bahrain,1425793,32234973404,,101.093132,103.8538437,46.56613922,6.3,76.899,,100,21.18119531,0.795892169,16.29866067,210.0492218,,14.738,77.26758181,2.342487544,0.862700105,2
Bangladesh,157977151,2.21415E+11,4.35,,71.41584015,17.87435913,29.3,71.785,0.4974,97.22961308,0.466776363,14.46877161,4.173005954,86.07690632,,18.824,66.11132307,5.135613502,0.649116933,0
Belarus,9501534,47722657821,5.84,101.0770416,104.7959213,88.18457794,2.9,73.82682927,,96.48867563,5.810640682,42.90696987,32.47559748,121.112623,,12.4,69.07010989,14.41574703,0.926551104,1
Belgium,11331422,4.7574E+11,7.83,103.3177719,161.0331573,75.89064026,3.1,81.43902439,3.0679,100.0000013,8.323756718,22.76420079,37.60922178,110.5368746,,10.8,64.61143766,18.37185871,0.928964078,2
Benin,10872072,11821066153,,130.9022827,59.04251862,12.94939995,63,60.885,0.0481,64.92204449,0.665006634,29.57742107,0.20509447,81.7921125,,37.027,53.89830798,3.23552209,0.492815852,0
Bolivia,11031822,33941126200,3.5,96.55513,91.42639923,,23.9,70.626,1.5901,91.06696927,1.958878597,47.77132835,2.606905809,91.60973889,,22.433,61.11593252,6.900623959,0.795958757,1
Bosnia and Herzegovina,3386263,16914287349,25.41,,,50.78256989,5.3,76.998,,96.15126178,6.597243038,42.50996094,19.56337748,100.5249735,,8.477,70.000378,15.07843743,0.807705104,1
Botswana,2159925,15082578065,,,,25.9108696,33,68.178,0.5269,89.40444271,3.296410755,27.75201595,2.734212777,152.2730166,,25.943,61.32850786,3.957078179,0.768302798,0
Brazil,206163056,1.79569E+12,11.6,114.5202789,102.0632629,50.73448944,14.6,75.23,,97.95583878,2.143497524,60.07103255,13.02890048,118.3855945,,14.307,69.64878959,8.301687306,0.912455142,2
Bulgaria,7127822,53953897624,7.57,91.08322144,99.67707825,71.2457428,6.5,74.81219512,,99.15790041,5.855926256,35.38135593,23.73603406,125.4743844,,9.1,65.2542739,20.42934287,0.92603606,0
Burkina Faso,18646350,12833363370,,91.11083984,35.78715134,5.56196022,58,60.354,0.0645,49.54416459,0.187704296,23.45175439,0.066415118,82.61152567,,38.92,52.20262596,2.409730759,0.764401138,0
Cambodia,15766290,20016747754,0.72,110.1876526,,,25.9,68.977,,69.08113407,0.627921978,49.2359506,0.619302243,126.3169742,,23.291,64.35303875,4.25764663,0.745901227,0
Cameroon,23926549,33814337900,,116.1173019,60.05815887,12.47752953,55.4,58.063,,64.33898773,0.357343635,43.50337416,1.52458664,78.22900593,,36.429,54.204904,2.731593032,0.659299791,0
Canada,36109487,1.52799E+12,7,101.0238724,112.5142822,66.43917847,4.5,81.9,2.3105,99.22739547,15.24474718,38.71201338,36.79332821,84.5231216,,10.6,67.64695567,16.4550098,0.924392521,2
Central African Republic,4537683,1825018191,,102.018898,15.03944016,,87.4,51.593,,41.2766431,0.068316804,35.9931298,0.016219721,27.51062987,,36.029,52.21238314,2.83307395,0.29018417,0
Chad,14561658,10097778354,,86.84687042,22.55660057,,74.4,53.438,0.0471,44.74869976,0.070046969,3.787325286,0.035202031,38.35901264,,43.201,49.90749681,2.453854849,0.616204858,0
Chile,18209072,2.5044E+11,6.74,100.9782562,101.7775269,87.18814087,6.6,79.779,2.2937,99.73718587,4.73170736,23.83086404,15.95128317,127.972519,,13.031,68.82224834,10.87837115,0.841388166,2
China,1378665000,1.12333E+13,,97.96192169,,48.01902008,8.5,76.21,1.8647,92.31599823,7.118705414,22.5428773,22.81370164,96.52661691,,12.95,72.20275277,9.802631139,0.741703033,1
Colombia,48175048,2.82825E+11,8.69,116.2337036,95.01463318,55.48424911,13,76.732,2.0335,96.61696481,1.738659399,54.04190176,12.27392136,121.8160055,,15.308,68.0179463,7.936288268,0.88190037,2
"Congo, Rep.",4980996,10215989995,,,,,37.6,63.556,,72.18665483,0.672556252,64.43045388,,108.8938839,,33.933,55.3186953,2.605663606,0.615449011,0
"Congo, Dem. Rep.",78789130,37134799975,,,,6.603340149,71.8,59.655,0.074,43.35584023,0.026145739,57.59058689,0.001269211,36.66662914,,42.278,50.63351317,3.02043834,0.864154518,0
Costa Rica,4899336,58847016045,8.6,111.7611389,125.8161621,53.63869858,7.5,79.738,1.3759,99.59608945,1.649203076,58.15511163,13.04433552,170.0362804,,14.512,69.18392152,8.965463751,0.900701284,2
Croatia,4174349,52295158344,13.1,98.20056915,98.87110901,66.53237915,4.2,78.02195122,2.9996,,4.058117805,34.00106379,24.80146614,104.888678,,9,65.95282709,19.61568236,0.798332155,1
Cyprus,1170189,20953442550,12.95,98.54550934,99.11930847,67.17111206,2.1,80.513,1.9509,99.78076077,6.110124091,18.68073593,32.57873187,132.6368741,,10.852,70.0034268,13.12379987,0.786438465,1
Czech Republic,10566332,1.96272E+11,3.95,100.2088776,104.6348114,63.7481308,2.5,79.02682927,4.0194,99.88016949,9.734693175,34.57459207,28.91055035,117.5742832,,10.7,66.27224569,18.52155086,0.930592895,2
Denmark,5728010,3.13116E+11,5.99,101.8048325,129.1194916,81.05674744,3.5,80.85365854,4.0099,99.99999893,6.176665194,15.6165,43.09670097,122.300966,,10.8,63.98027856,19.42245168,0.954451501,2
Dominican Republic,10397738,75704720190,7.28,110.2987518,79.88292694,54.49900055,25.4,73.471,,96.37630273,2.352434731,43.71227489,7.321349897,83.75022036,,20.07,64.77723382,6.689183737,0.894753456,1
Ecuador,16491116,99937696000,4.6,104.9349594,103.7501297,,12.7,76.365,2.0368,93.76941497,2.365516075,51.3565389,9.760321861,84.18035505,,20.205,64.5292714,6.763805433,0.842352092,2
"Egypt, Arab Rep.",94447071,3.32442E+11,12.41,105.3935776,85.14644623,33.85890961,19.2,71.482,0.8214,99.18797298,2.477154638,0.045185594,4.731924302,103.540997,,27.677,61.20794447,5.146599938,0.809218585,0
El Salvador,6356137,24191430000,4.42,99.80045319,73.96273041,27.91809082,12.7,72.644,1.5662,96.57988846,1.128043653,29.04826255,6.219290535,151.6211797,,18.587,64.22193459,7.926457916,0.793659985,2
Estonia,1315790,24056487771,6.76,97.11779785,115.014122,71.39044952,2.3,77.64146341,3.4546,99.53615906,11.89399524,55.69933287,31.48308786,144.1630523,,10.7,64.81120538,19.05811578,0.937715113,1
Ethiopia,103603461,74296618481,,,,10.17908001,41.2,65.482,0.0464,43.60707813,0.144300199,15.37274233,0.539557259,49.44236323,,33.207,54.806239,3.472978538,0.718718708,0
Finland,5495303,2.40608E+11,8.82,100.4188385,152.1628571,86.97852325,2,81.42926829,3.8118,99.99999556,8.318012674,73.73564542,31.1402214,131.3291545,,9.6,62.87518101,20.79095435,0.953940451,2
France,66724104,2.47129E+12,10.05,102.2604294,103.3080978,64.72767639,3.5,82.57317073,3.2376,100,4.686612202,30.89979673,42.80350858,104.4897355,,11.8,62.4703445,19.28412493,0.884922922,2
Gabon,2007882,14023890620,,,,,34.3,65.418,0.3561,84.20854944,2.843792613,91.50510343,0.747955672,147.543495,,32.604,59.80552555,3.60585555,0.780048966,0
Georgia,3727505,15141758567,16.6,100.3439484,100.9073486,51.83005142,9.1,73.207,5.9973,96.44757681,2.58886306,40.61591596,16.9604403,137.7647586,,13.925,66.25135414,14.49810108,0.533412278,0
Germany,82348669,3.4675E+12,4.12,102.6775589,98.81199646,69.58058929,3.3,80.9902439,4.1944,99.99999762,9.073006389,32.68548202,38.76437445,125.8854564,,9.6,65.39599085,21.28871011,0.906029284,2
Ghana,28481947,56165172899,,106.7279663,68.90293884,15.53598022,37.4,63.124,0.127,81.27978114,0.495401526,34.81691131,0.304038225,134.4889824,,30.28,58.94660284,3.030695411,0.647303164,0
Greece,10775971,1.93017E+11,23.54,99.27773285,102.9568481,131.540863,3.9,81.38780488,5.4036,99.9999977,6.203617289,30.26997673,34.0552614,118.122548,,8.6,64.51476823,21.12995676,0.802605867,1
Guatemala,15827690,66053725049,2.58,100.8123016,53.43598938,,22.9,73.541,,92.4944136,1.103130021,33.35386338,3.05130363,110.1395181,,25.267,59.74785981,4.592254175,0.811235487,2
Guinea,11738434,8595955581,,91.50917053,,9.342309952,67.4,60.17,0.0832,63.71828612,0.241088377,25.8383526,0.00937093,94.64639604,,37.171,52.46573455,2.889926753,0.675447047,0
Haiti,10839976,13987693739,,,,,51.9,62.896,,65.02301688,0.313653831,13.05297533,0.012435459,60.0002583,,25.162,61.26775259,4.729680986,0.58374244,0
Honduras,9270794,21566622850,6.73,92.58468628,51.82078171,20.92457962,15.9,74.701,0.5982,93.75471605,1.013936886,57.58378765,2.377207133,84.48900013,,22.13,62.55904699,4.440514541,0.773909986,1
"Hong Kong SAR, China",7336600,3.20838E+11,3.39,108.1417465,103.5592804,72.33812714,,84.22682927,,100,,,36.25336886,242.7675438,,8.3,73.0503668,15.75198984,0.83207792,1
Hungary,9814023,1.28636E+11,5.11,101.8788071,102.7139511,48.03886032,4,76.06341463,3.2313,99.97080712,4.532290173,22.55895244,28.85809714,102.0406696,,9.7,67.626637,18.00234287,0.899511576,1
Iceland,335439,20793168031,2.98,99.53414154,117.6290131,73.60044098,1.7,82.20487805,3.8892,100.0000017,6.171017681,0.485386534,38.53723292,120.8927593,,12,65.78779432,14.06777722,0.984940052,2
India,1324517250,2.2948E+12,,114.5383224,75.09179688,26.82921982,33.1,68.897,0.759,88.61740577,1.648359053,23.91182535,1.408310236,85.14868348,,18.332,66.27426247,5.79330515,0.613529384,0
Indonesia,261556386,9.31877E+11,4.3,105.6098785,84.95211792,35.43735886,22.5,71.035,,89.32043532,1.89244089,50.74345453,1.998572155,147.4150225,956,18.79,67.2429804,5.524336262,0.791830599,1
"Iran, Islamic Rep.",79563991,4.17984E+11,12.61999989,111.2355728,86.86631775,69.63565826,13.3,76.047,,96.94934902,7.613494401,6.570691815,9.562818677,101.2018754,,19.102,70.0525812,5.914568964,0.566281199,0
Iraq,36610632,1.66602E+11,10.82,,,,23.9,70.122,0.8536,95.13617253,4.70764886,1.900361184,,91.35870695,,30.388,57.74782855,3.150920749,0.718956709,0
Ireland,4755335,2.98725E+11,8.37,101.3414917,117.028717,77.55713654,3.1,81.65365854,3.2323,97.38347989,8.140330807,11.06619248,28.96652504,103.8191107,,13.4,65.09707974,13.14759489,0.958144009,2
Israel,8546000,3.19024E+11,4.8,104.7480469,105.233078,64.90019989,3.1,82.40731707,3.4632,99.99999925,7.636321086,6.469500924,27.84565516,130.3492361,,21.2,60.60107399,11.47056013,0.889660776,2
Italy,60627498,1.8758E+12,11.69,99.42546082,101.6623535,60.93732834,2.9,83.24390244,3.9504,99.91703407,5.498165205,31.79060991,25.65528181,141.6939815,,7.8,64.16047427,22.23486089,0.927212834,1
Japan,126994511,5.00368E+12,3.1,98.24278259,102.3720169,63.58443832,2,83.98487805,2.4115,98.96183223,9.22394197,68.42249657,31.15573635,130.5952482,,7.8,60.49382348,26.59181651,0.617400765,0
Jordan,9554286,39892551127,15.28,78.56041718,,35.58393097,14.7,74.184,1.3954,98.99387975,2.601973606,1.09822032,3.111943687,102.7648325,,23.396,60.75659657,3.781486131,0.899773836,1
Kazakhstan,17794055,1.37278E+11,4.96,109.8852081,113.2500229,46.61611938,9.8,72.41,,95.22050548,12.5333995,1.236326258,13.17880684,143.2053265,,22.52,65.77406829,6.918427734,0.819944739,1
Kenya,49051531,74815121315,2.76,103.2053375,,11.42673016,34.5,65.393,,58.89260448,0.3826588,6.240942475,0.270535882,79.47190398,,29.943,56.92169994,2.176349877,0.927810669,1
Kosovo,1777557,6682832632,27.47,,,,,71.74390244,,,,,,,,16.6,,,0.70592159,0
Kuwait,3956862,1.0942E+11,2.16,100.5321503,,57.28532028,7.3,75.224,,100,22.71496959,0.350729517,2.562375612,193.571063,,15.369,76.46089401,2.241971253,0.82380271,1
Kyrgyz Republic,6079500,6813092066,7.21,104.6014709,93.8347168,45.11103821,18.9,70.95121951,,89.04474796,1.595525948,6.549739312,3.965424993,125.3393872,,26,63.72269864,4.358538308,0.845222056,1
Latvia,1959537,28064533352,9.64,99.19854736,111.2968063,80.60481262,3.9,74.5804878,3.1885,98.57676426,3.648821125,54.65727624,26.29605129,134.240928,,11.2,65.09153275,19.6798709,0.914375484,0
Lebanon,6714281,51389318291,,,,,6.8,78.8,2.0115,91.58075057,4.141917802,13.77614858,,63.70068515,,17.744,66.48664243,6.519968408,0.917073965,1
Lesotho,2075041,2114323794,,117.6952667,58.51934052,10.19626045,72.3,52.059,,70.85738563,1.093954288,1.137022398,0.107468326,110.0185058,,27.501,61.93577924,4.83911076,0.827885926,1
Liberia,4586788,3398419600,3.08,89.47020721,,,65.2,62.802,,73.15081745,0.307404659,80.34136213,0.174414029,67.95610958,,33.843,55.0003303,3.196464104,0.798059285,0
Libya,6492160,26197143268,,,,,11,72.311,,98.15158471,7.883354692,0.123327688,2.60190673,117.9894772,,19.935,66.99872862,4.276541466,0.642614603,0
Lithuania,2868231,43018087238,7.86,102.8917999,107.4297714,71.11852264,3.9,74.67073171,4.7346,97.07374572,3.904845879,34.96056959,29.68486173,145.513378,,10.7,66.38965765,18.96844395,0.87606585,1
Luxembourg,582014,62174650367,6.29,100.7897873,103.6651611,19.56393051,2.4,82.68536585,2.9052,99.90687145,15.22300151,36.50205761,35.06173351,131.8915037,,10.4,69.7182977,14.04230196,0.937873363,1
Madagascar,24894370,11848613735,,143.8241882,38.31158829,4.825500011,39.6,65.931,,49.78933803,0.129346515,21.45527673,0.10598782,32.12876245,,33.138,55.82712075,2.878249178,0.941260576,2
Malawi,17205253,5433040160,,144.5329437,39.17525101,,35.3,62.681,0.0165,66.94335879,0.079045626,25.55897327,0.050519431,41.72202909,,35.163,52.66897724,2.647480907,0.871212244,1
Mali,17965448,14026048691,1.37,77.17025757,42.99298096,,65.2,57.987,0.1395,76.04238647,0.24602782,10.89666363,0.119362489,112.5365904,,42.638,49.62358011,2.521902744,0.746496975,0
Malta,455356,11721521913,4.69,103.9727402,95.80821991,48.60340881,6.1,82.45365854,,99.99999869,2.964713323,1.1875,39.27176752,134.252242,,9.8,66.41297693,19.37917482,0.524299622,0
Mauritania,4163532,6398744505,,96.83441925,32.67718887,5.352479935,53.8,64.208,,68.83201748,0.674907747,0.324633744,0.267585246,86.80541261,,34.569,56.46742802,3.123116834,0.836254537,0
Mauritius,1263473,12232463656,6.81,102.4534073,97.54029846,38.84852982,12.8,74.39487805,2.1943,99.86639665,3.197535681,18.86206897,16.84807804,143.755473,,10.4,70.65526027,10.44303471,0.930369377,2
Mexico,123333379,1.07849E+12,3.86,106.2777328,102.4040604,38.43338013,13.5,74.917,2.3244,98.45286453,3.885809372,34.05599424,12.91132337,90.59237542,,18.245,65.82178939,6.873320325,0.784826875,0
Moldova,2802170,8071480541,4.02,104.3766327,106.0199127,52.87162018,13.1,71.617,,88.96917224,2.904891566,11.75486618,13.70884816,93.17465849,,10.445,73.79855775,10.41601236,0.836032152,1
Mongolia,3056358,11181350461,7.24,102.9698029,,64.0191803,16.1,69.321,2.8592,81.72957231,5.944984194,9.103978705,7.399216847,110.1823278,,25.425,66.64579219,3.920835346,0.893492579,2
Montenegro,622303,4374128319,17.72999954,95.94374847,90.54210663,56.84529114,2.8,76.568,,97.6373839,3.390631252,61.48698885,18.30935619,165.9184968,,11.804,67.52483803,14.14189241,0.83732146,1
Morocco,35126274,1.03312E+11,9.3,110.3957825,,31.9865799,20.7,75.974,,85.11293354,1.795806751,12.77120771,3.574041694,118.1848162,,19.868,65.81884852,6.538053002,0.947489381,1
Myanmar,53045199,60291738935,,108.9044418,60.31562042,,39.4,66.205,0.6195,75.56637556,0.412666941,45.48099773,0.169074673,95.3647362,,17.861,67.31718483,5.352983769,0.865743697,1
Nepal,27263430,24524098184,,144.4888458,70.77674866,11.62351036,28.5,69.848,,88.27710856,0.342583453,41.59072201,0.822288228,117.8146017,,20.515,62.07694387,5.600402561,0.655409336,1
Netherlands,17030314,7.83528E+11,6.01,103.2867584,132.6916504,80.36483765,3.4,81.56097561,3.547,100.0000014,9.293428178,10.86308286,42.53368191,123.0177086,,10.1,65.0519292,18.37166129,0.793461978,0
New Zealand,4714100,1.88943E+11,5.150000095,98.82144928,114.3596878,81.77039337,4.4,81.61243902,3.3833,100.0000013,6.614199953,37.39603509,32.84852868,130.9219373,,12.6,65.19028216,14.99985513,0.837043643,1
Nicaragua,6303970,13286083645,3.9,,,,16,73.86,0.9537,81.41597396,0.853430457,31.63977065,2.808133409,122.8671311,,21.468,64.21182892,4.88383994,0.925944209,2
Niger,20788789,10398862245,,73.43232727,23.12496948,3.506419897,50.5,61.137,0.0433,45.8187016,0.094762615,0.891592327,0.03707285,35.94148156,,47.017,47.25836963,2.584286018,0.93660289,2
Nigeria,185960244,4.0465E+11,7.06,84.72563934,42.00254059,,78.5,53.541,0.4494,70.54093551,0.583027843,24.46297956,0.058039826,82.99740158,,38.873,53.14795166,2.746004723,0.852702439,1
Norway,5234519,3.68827E+11,4.68,100.2258835,116.2279892,80.54653931,2.1,82.40731707,2.6983,100.0000035,7.249949804,33.27109973,40.12560396,109.1149238,,11.3,65.60396987,16.59421944,0.682828248,0
Pakistan,203631356,2.78655E+11,,91.31745911,40.9597702,9.032739639,60.5,66.77,0.962,89.59636844,0.886749485,5.017953508,1.2219798,67.02750435,,28.888,59.98627382,4.315495561,0.804766953,1
Panama,4037073,57907695409,3.31,93.12197876,81.93289185,47.79935837,14.1,77.964,1.5687,93.23054291,2.6677744,57.46762008,10.64955891,127.3636031,,19.562,64.67031353,7.727940852,0.807690263,1
Paraguay,6777878,36089550659,5.25,,,,18.3,73.836,,98.10319856,1.054902434,43.62730934,3.639195311,110.4988999,,20.993,63.9178934,6.056856783,0.959742844,2
Peru,30926036,1.91896E+11,3.74,103.0602798,101.9628677,71.13298798,11.6,76.044,1.3048,90.86111165,1.827909662,57.03928125,6.857530252,119.4241828,,18.323,65.34223337,7.557736473,0.626921296,1
Philippines,103663812,3.18627E+11,2.7,110.1739273,88.45581055,,23.1,70.802,,92.43642247,1.205049261,23.64101016,2.879936428,115.8522806,,21.623,63.31540795,4.762957983,0.817770958,1
Poland,37970087,4.7263E+11,6.16,,108.604332,67.00454712,4,77.85121951,2.4146,99.42565775,7.894108855,30.81420033,19.28946685,139.5179369,,10.1,68.87713146,16.3376979,0.882460237,2
Portugal,10325452,2.06286E+11,11.07,105.7375183,118.0248413,63.25564957,3,81.12439024,4.9397,99.90618169,4.72231143,36.15499489,32.69172996,112.0724654,,8.4,64.96154486,21.16160921,0.93986696,1
Romania,19702267,1.88129E+11,5.9,86.9076767,91.14482117,48.24060822,7.1,75.2097561,2.2565,100,3.610752001,30.11582928,22.47643939,115.6782699,,10.4,67.15429688,17.42171322,0.802856445,1
Russian Federation,144342397,1.27679E+12,5.56,99.81439209,102.396698,80.63262177,6.5,71.65121951,4.0139,96.61953404,10.60603144,49.77269955,18.94519321,157.718498,,12.2,68.82511953,13.88397716,0.821298718,1
Rwanda,11668829,8690485823,,141.2786865,37.27188873,7.667319775,29.6,67.93,0.1226,57.92420961,0.089983322,11.02553709,0.186145531,76.45612537,,32.353,56.91035611,2.765804995,0.91739881,2
Saudi Arabia,32443443,6.44936E+11,5.65,105.1270599,112.339119,67.33551025,6.7,74.761,2.3776,99.70810151,17.1603242,0.454484135,19.71905451,147.7417643,,18.858,71.36899171,3.10632221,0.90463537,1
Senegal,14993514,19040312815,4.460000038,,,10.90740013,35.4,67.078,0.0711,79.86889467,0.661619418,42.737028,0.655970089,101.2869961,,35.727,53.55725364,3.065224381,0.809229195,1
Serbia,7058322,40692643373,15.26,100.5712738,96.23473358,62.13697052,5.2,75.68780488,3.1131,93.76723065,6.551132125,31.10198948,20.60940259,129.1774948,,9.2,66.59961195,17.42315842,0.910927355,1
Sierra Leone,7328846,3674794530,,118.2467804,41.42993927,,88.6,53.444,,59.03747608,0.130989244,36.21224716,,85.67897704,,34.483,55.3733377,2.989888978,0.665130913,0
Singapore,5607283,3.18764E+11,4.08,100.7732086,107.8590088,83.940979,2.2,82.84634146,2.2936,100,8.232150937,22.9696756,28.15711098,149.6506495,,9.4,77.94225802,9.768495803,0.889932334,2
Slovak Republic,5430798,89614053144,9.67,97.85217285,91.25234222,47.79592133,5,77.16585366,3.4664,99.78751691,5.80025256,40.00353577,24.55972553,128.4435529,,10.6,70.19084701,14.54811767,0.838994384,0
Slovenia,2065042,44736333522,8,99.8380127,115.9301071,77.84908295,1.9,81.17560976,3.0007,99.5,6.745625513,61.85929898,28.41197372,115.0200317,,9.9,66.74025292,18.48077099,0.894894958,1
Somalia,14185635,4198485404,,,,,80.4,56.324,,50.27459621,0.04652594,10.02167883,0.648543358,46.89983586,,42.096,50.22774446,2.828903829,0.656723499,0
South Africa,56207649,3.23586E+11,26.54,103.1849594,107.1769485,20.9184494,28.2,63.153,0.7997,92.29629284,7.564450881,14.17511479,2.04735491,146.6221873,,21.314,65.66442046,5.122219493,0.925128222,1
"Korea, Rep.",51217803,1.50011E+12,3.65,97.71842194,100.4850464,94.03362274,2.9,82.27560976,2.3037,99.56447646,12.00324817,64.87911457,40.31833895,120.2263275,,7.9,73.16412851,13.33794019,0.945179105,1
South Sudan,10832520,,,,,0.59254998,62.4,57.12,,41.1868131,0.159704298,11.32535085,0.00138472,24.92495281,,35.738,54.30331157,3.422297567,0.934487343,1
Spain,46484062,1.23208E+12,19.63,104.2141724,126.1904602,86.51608276,2.7,83.32926829,3.8112,99.92650345,5.314294607,37.14286858,30.26250082,110.480234,,8.8,66.32406859,18.91054065,0.594416559,0
Sweden,9923085,5.15655E+11,6.99,124.8510513,144.9093475,63.54801941,2.3,82.30731707,3.984,99.80376396,3.909066586,68.69460607,37.41119745,127.5231707,,11.8,62.77146814,19.84019532,0.875389755,0
Switzerland,8373338,6.95601E+11,4.92,104.6291122,102.5653763,58.04695129,3.7,83.60243902,4.2473,100.0000029,4.730490994,31.76812043,45.05910977,134.1553264,,10.5,66.93853889,18.2289037,0.811163485,1
Tajikistan,8663575,6992393787,6.9,97.98573303,,29.1661396,32.1,70.397,,77.62285312,0.687937716,3.039123856,0.069255443,108.5001937,,31.822,60.91155861,2.95910039,0.532151818,0
Tanzania,53049231,49774021003,,85.29785919,26.71446037,4.070569992,39.8,63.844,0.014,54.80740809,0.205846528,53.76044254,0.600336706,75.48495237,,37.461,52.928723,2.563709219,0.941736817,2
Thailand,68971313,4.13366E+11,0.69,100.7575302,118.6259079,49.28681183,8.9,76.403,0.445,99.44567029,3.780122324,39.18064554,10.46667116,173.5054814,,10.676,71.34828152,11.00605777,0.912060678,2
Togo,7509952,6031632168,,125.1071472,,12.86021996,49.5,60.22,0.0128,64.82759182,0.30626028,22.45100202,0.649311826,73.30838776,,34.016,55.26701839,2.828487163,0.927628279,2
Tunisia,11303942,44360775649,15.56,114.9201736,92.86579895,32.81536102,14.7,76.115,1.2834,95.44404588,2.564592069,4.483843975,5.664102223,126.3459615,,18.405,68.17212044,7.829461308,0.894989252,2
Turkey,79827868,8.69693E+11,10.84,100.9476471,102.7405319,,10.5,76.86,1.8142,96.41432248,4.692471556,28.10480361,13.15291498,94.02943867,,16.494,66.62572399,8.050007998,0.856656969,1
Turkmenistan,5662371,36169428571,,,,,36.4,67.835,,98.33812977,12.71905356,8.782159045,0.070641823,151.4384088,,25.37,65.01405419,4.157677495,0.63775593,0
Uganda,39649173,29203988815,,104.0006638,,5.061920166,37.6,61.986,,49.41834413,0.143004244,12.48209655,0.232325189,57.60142849,,39.8,50.42476808,1.900776425,0.907543659,1
Ukraine,45004673,93355993629,9.35,,,,7.9,71.47634146,,93.72407862,4.471757855,16.68249064,12.03425849,133.1689539,,10.3,68.67125428,15.8940765,0.509440958,0
United Arab Emirates,9360975,3.57045E+11,1.64,108.6727066,95.34329224,,6.6,77.47,2.371,99.97133164,21.30760952,4.467755562,13.86163628,212.6389865,,10.603,84.62749627,0.986990678,0.701822102,0
United Kingdom,65611593,2.72285E+12,4.81,101.3352127,,58.42562103,3.8,81.15609756,2.7563,100.0000015,5.774741668,13.05749597,38.42293963,119.0555562,,11.8,64.25192612,18.15837456,0.879994631,1
United States,323071755,1.87451E+13,4.87,101.3628616,98.76992798,88.83505249,5.8,78.53902439,2.5881,99.53713865,15.13174682,33.89972254,32.72717192,122.5945483,,12.2,65.94297877,15.03367875,0.929032266,1
Uruguay,3424139,57236652490,7.84,109.7077789,115.9551163,62.54457092,7.2,77.498,3.9558,99.26624962,1.90704875,11.12444292,26.91712257,149.4317533,,14.057,64.46690531,14.59133111,0.753540218,0
Uzbekistan,31847900,86138288615,5.2,101.5724869,92.60662079,8.463600159,18.8,71.171,,97.68127077,3.370708901,8.13980408,8.734755262,73.99520784,,22.8,67.4698238,4.141626845,0.884961367,0
"Venezuela, RB",29851249,,5.32,98.9773407,87.93421173,,21,72.405,,94.39418015,5.428918569,52.76714472,8.756720614,92.46141578,,18.61,65.13920772,6.643640276,0.849379838,2
Vietnam,93640435,2.05276E+11,1.85,111.2049179,,28.54496956,16.9,75.172,0.8281,94.10246596,2.390740709,46.36914245,9.716197135,128.7907855,,17.15,70.13834047,6.824691585,0.954068184,2
"Yemen, Rep.",27168210,31317365269,,93.63748169,51.58068085,,43.3,66.087,,56.78561942,0.400468047,1.039831809,1.016699372,60.48634124,,31.627,56.81015472,2.825651953,0.896751285,2
Zambia,16363449,20958412538,,98.60697937,,,45.8,62.464,0.0925,62.16720877,0.341615023,61.29595502,0.194237673,73.43823048,,37.292,52.09097001,2.070705348,0.900380909,2
Zimbabwe,14030338,20548678100,,101.3096771,,8.171440125,41.4,60.294,0.1788,64.46896436,0.783302583,45.57027272,1.217633426,91.79345804,,32.864,54.47313396,2.861778528,0.945102155,1
